id,author_id,created_at,text
1898696801735020862,827806728,2025-03-09 11:26:08+00:00,"""Ante el avance fascista, mucha feminista"" fue la consigna del 8M.
Disculpa si discriminamos a los fascistas, la próxima vez les pedimos asesoramiento 🤌🏽 https://t.co/ZekQ02Zrp3"
1898696775118057587,2232056874,2025-03-09 11:26:01+00:00,"Un día muy especial Ayer
Trofeo Máster Natacion Villa de Navia
Un 8M en donde todas+ todos disfrutamos del Deporte en Igualdad.
#AvanzamosJuntos https://t.co/6JX3yveKBX"
1898696768834994548,552901323,2025-03-09 11:26:00+00:00,"▶ Horas después del  8M 💪👩🏻, este capítulo  𝐁𝐚𝐫𝐫𝐢𝐨 𝐯𝐢𝐫𝐭𝐮𝐚𝐥 estará dedicado a recorrer las novedades discográficas de dos grandes maestras de la música popular uruguaya: @lauracanoura (La mariposa monarca) y #LágrimaRíos (En el Sena).

🎙️@WalterBordoni https://t.co/w9cSMEBVb4"
1898696762283426200,777121218591854592,2025-03-09 11:25:58+00:00,Me parece muy mal que las mujeres en las manifestaciones feministas del 8M hayan mantenido sus roles de género limpiando la mierda que ha ido apareciendo.
1898696758223409474,3302931991,2025-03-09 11:25:57+00:00,"@DianaLuzVa Así debería ser cada 8M, cada que su marcha se torne vandalica, a reprimirlas, no puede estar por encima de la ley, no pueden vandalizar comercios, todo tiene un límite y si los sobrepasan debería haber consecuencias!! 🤷🏻‍♂️ https://t.co/aaL7Kl4UnX"
1898696732323578093,1082368389509758977,2025-03-09 11:25:51+00:00,"8M: Las ‘feministas’ del PSOE terminan su marcha frente al piso que Ábalos pagaba a Jésica con dinero público… sin una palabra

https://t.co/EL4icUBRHY

Download Now
https://t.co/8LjmUqxOtM"
1898696727122591911,1090337664648261640,2025-03-09 11:25:50+00:00,@GabrielBoric El acosador celebrando el 8M
1898696721888055584,1856004877647769601,2025-03-09 11:25:49+00:00,"La lluvia no frena la rabia feminista en la Región: ""¡Menos princesas y más guerreras!"" https://t.co/ETEedX2JVc a través de @diariolaopinion"
1898696714250334481,1336091302593769473,2025-03-09 11:25:47+00:00,"🇪🇸 | Ainhoa García Flórez, Portavoz nacional de familia de VOX, sobre las mujeres y el 8M:

«Las mujeres de España tienen mucho que luchar, mucho que dar y mucho que decir». https://t.co/SeISvxvtPw"
1898696711683383377,1800976313659908096,2025-03-09 11:25:46+00:00,"@Gol_de_Iniesta Para lo único que sirve el feminismo es para joderse la vida entre todos, solo saben pelear y destrozar todo el 8M."
1898696659942445470,198809852,2025-03-09 11:25:34+00:00,@psoedeandalucia Yo no quiero decir naaaaaaa. pero esta vez la afluencia ha sido un 8M con M de Mier.......
1898696614346183052,1846904495579725824,2025-03-09 11:25:23+00:00,"@rosamariaartal Coranovirus oe oe,oe,
Broncano en el 8M,con las petardas feminazis  que estaban tapando el asunto. 
Simón,habra uno o dos casos de manera  residual, Illa,las mascarillas  no son necesarias. Y así, todo.Aquí,la única,asquerosa y sin vergüenza eres tú,que sólo tienes 💩 en el seso"
1898696552501194983,164297506,2025-03-09 11:25:08+00:00,@FreddyOliviery Que lamentable situación !!! Está totalmente desvirtuada la marcha por el 8M. Este tipo de comportamiento en un menor es inaceptable es el ejemplo que ven de sus madres en este caso Lastima porque al rato será una vándala
1898696532666249295,710940956,2025-03-09 11:25:04+00:00,"@nattrogerss @91stomlinsol 1- El día de prevención al suicidio es tan conocido como la existencia del día del hombre, es decir, nadie lo conoce.

2- Se supone que el 8M sirve para reivindicar la igualdad, se supone...quizás sería necesario que, no se, se amplíe el número de psicólogos en sanidad pública,… https://t.co/J24PkqVspO"
1898696517176737994,1519759610,2025-03-09 11:25:00+00:00,"#VolvéALeerlo  10 hitos del deporte mundial protagonizado por mujeres que vinieron a romper con la hegemonía masculina

https://t.co/utfscd0PFw"
1898696508460916832,62578014,2025-03-09 11:24:58+00:00,"Semillas que Florecen
#8M | En el Día Internacional de la Mujer, y tras gira por Europa, se inauguró en #Tehuacán, #Puebla, la exposición Semillas que Florecen para honrar la memoria de dos defensores de los derechos humanos asesinados en la caravana a San Juan Copala en 2010. 🧵 https://t.co/vTGu1ccOd6"
1898696500454052143,1246134390184448001,2025-03-09 11:24:56+00:00,"podriais dejar de mezclar terminos y luchas la verdad xd yo tambien odio a las putas pijas pero no me apetece que las violen ni las maten ni abusen ni NADA lol y de eso va el 8m, no de ser todas amiguis https://t.co/DbSgd6inSa"
1898696422322495731,87659574,2025-03-09 11:24:37+00:00,"Sus charidades reconocen que se extinguen. EL FIN del 8M
https://t.co/uJg2vYWX1M"
1898696374876582330,873126794,2025-03-09 11:24:26+00:00,"En este 8M #8DeMarzo feministas buscaban espacios seguros, y una fue golpeada por otras en ese espacio. Tal vez el Vivas nos queremos implica ""Te puedo romper la madre, pero dejarte viva"". La sonoridad aplica en uniformidad de pensamiento, si eres disidente, peligras https://t.co/XwCqA8xWRh"
1898696371839848639,564868521,2025-03-09 11:24:25+00:00,"Pedazo concierto de @VEGAOFICIAL anoche en Murcia, estuvo sublime voló el tiempo y volamos con ella, que mejor día 8m para ver artistas mujeres ♀️ cambiando la historia, si tenéis oportunidad, ir a verla a sus conciertos.. Ya sabes, eres de otro 🌏 https://t.co/ipArjVzZfM"
1898696357612822867,177919813,2025-03-09 11:24:22+00:00,El 8M en una imagen https://t.co/xYlnlYACtz
1898696357554065615,1212901368,2025-03-09 11:24:22+00:00,"#NoLePrestenACaputo
#JuicioPoliticoAMileiYa
#MileiEstafadorMundial
👇
8M: Repudio al provocativo video del Gobierno contra el movimiento feminista con datos falsos https://t.co/AVnnM7aw7v"
1898696322871370197,1498470720157925376,2025-03-09 11:24:14+00:00,"wey ver a la ex de mi novio compartir cosas del 8M cuando ella junto con su amiga se inventaron la narrativa de que a su amiga la habían abandonado a las 4 am en un lugar solo y estando borracha, que necesitaba la ayuda de mi novio pq sus amistades fueron qns +"
1898696287236534741,1573006640990900236,2025-03-09 11:24:05+00:00,"8 de marzo na Coruña.
Creadoras dun mundo novo.💜🖤
https://t.co/3cjNJ1MUxZ https://t.co/hbTpej8klr"
